"","original_title","year","Genre","duration","votes"
"1","Kate & Leopold",2001,"Comedy",118,77852
"2","The Plot Against Harry",1989,"Comedy",81,280
"3","Malibu Hot Summer",1981,"Comedy",90,657
"4","Double Exposure",1982,"Crime",100,599
"5","Rana: The Legend of Shadow Lake",1981,"Action/Adventure",96,423
"6","Wolf Lake",1980,"Drama",88,247
"7","Animalympics",1980,"Family",78,1823
"8","The Attic",1980,"Drama",101,621
"9","Blank Generation",1980,"Musical",90,338
"10","Bloodrage",1980,"Crime",78,258
"11","HealtH",1980,"Comedy",105,668
"12","Hot T-Shirts",1980,"Comedy",86,240
"13","Monster",1980,"Horror",98,600
"14","The Pilot",1980,"Action/Adventure",92,195
"15","Tom Horn",1980,"Drama",98,4663
"16","Nine to Five",1980,"Comedy",109,26790
"17","Airplane!",1980,"Comedy",88,208636
"18","The Alien Dead",1980,"Comedy",74,892
"19","Alligator",1980,"Horror",91,10427
"20","Altered States",1980,"Horror",102,31344
"21","American Gigolo",1980,"Crime",117,21067
"22","Any Which Way You Can",1980,"Action/Adventure",116,17116
"23","The Baltimore Bullet",1980,"Comedy",103,455
"24","Battle Beyond the Stars",1980,"Action/Adventure",104,7793
"25","Below the Belt",1980,"Action/Adventure",91,162
"26","Beyond Evil",1980,"Horror",94,607
"27","The Big Red One",1980,"Drama",113,18356
"28","The Black Marble",1980,"Comedy",113,496
"29","Bloodeaters",1980,"Horror",89,777
"30","The Blue Lagoon",1980,"Action/Adventure",104,61645
"31","The Blues Brothers",1980,"Action/Adventure",133,178921
"32","Bon Voyage, Charlie Brown (and Don't Come Back!!)",1980,"Family",75,2724
"33","The Boogey Man",1980,"Horror",82,3755
"34","Bronco Billy",1980,"Action/Adventure",116,10653
"35","Brubaker",1980,"Crime",131,15651
"36","Caddyshack",1980,"Comedy",98,102977
"37","Can't Stop the Music",1980,"Drama",124,3524
"38","Cardiac Arrest",1980,"Crime",85,159
"39","Carny",1980,"Drama",107,1867
"40","Cataclysm",1980,"Horror",94,505
"41","A Change of Seasons",1980,"Comedy",102,875
"42","Cheaper to Keep Her",1980,"Comedy",92,135
"43","Cheech and Chong's Next Movie",1980,"Comedy",99,11676
"44","The Children",1980,"Horror",93,1827
"45","Cloud Dancer",1980,"Action/Adventure",104,177
"46","Coal Miner's Daughter",1980,"Drama",124,16303
"47","Coast to Coast",1980,"Comedy",95,361
"48","The Competition",1980,"Drama",123,1798
"49","Defiance",1980,"Action/Adventure",103,918
"50","Delusion",1981,"Horror",82,211
"51","Die Laughing",1980,"Action/Adventure",108,252
"52","Don't Answer the Phone!",1980,"Horror",94,1620
"53","Dr. Heckyl and Mr. Hype",1980,"Comedy",99,560
"54","Dressed to Kill",1980,"Crime",104,34135
"55","Star Wars: Episode V - The Empire Strikes Back",1980,"Action/Adventure",124,1132073
"56","The Exterminator",1980,"Action/Adventure",104,4855
"57","Fade to Black",1980,"Comedy",102,2749
"58","Falling in Love Again",1980,"Drama",103,328
"59","Fame",1980,"Drama",134,19815
"60","Fatso",1980,"Comedy",93,1830
"61","Fiend",1980,"Horror",93,326
"62","The Fiendish Plot of Dr. Fu Manchu",1980,"Comedy",100,1902
"63","The Final Countdown",1980,"Action/Adventure",103,20927
"64","The First Deadly Sin",1980,"Crime",112,1748
"65","First Family",1980,"Comedy",97,570
"66","The Fog",1980,"Horror",89,62186
"67","Foolin' Around",1980,"Comedy",111,412
"68","Forbidden Zone",1980,"Comedy",74,4485
"69","Foxes",1980,"Drama",106,3864
"70","Friday the 13th",1980,"Horror",95,115515
"71","Galaxina",1980,"Comedy",95,2580
"72","Getting Wasted",1980,"Comedy",98,147
"73","The Ghost Dance",1982,"Horror",96,174
"74","Gilda Live",1980,"Comedy",96,557
"75","Gloria",1980,"Crime",123,8318
"76","The Gong Show Movie",1980,"Comedy",89,715
"77","Gorp",1980,"Comedy",90,501
"78","Hangar 18",1980,"Action/Adventure",97,2241
"79","Happy Birthday, Gemini",1980,"Comedy",107,146
"80","The Happy Hooker Goes Hollywood",1980,"Comedy",88,408
"81","He Knows You're Alone",1980,"Horror",94,3072
"82","The Hearse",1980,"Drama",99,1766
"83","Heart Beat",1980,"Drama",110,587
"84","Heaven's Gate",1980,"Action/Adventure",219,13386
"85","Herbie Goes Bananas",1980,"Action/Adventure",100,5068
"86","Hero at Large",1980,"Comedy",98,1381
"87","Hide in Plain Sight",1980,"Drama",92,686
"88","The Hollywood Knights",1980,"Comedy",91,4150
"89","Honeysuckle Rose",1980,"Drama",119,1296
"90","Hopscotch",1980,"Action/Adventure",106,6839
"91","How to Beat the High Cost of Living",1980,"Comedy",105,1300
"92","The Hunter",1980,"Action/Adventure",97,4843
"93","The Idolmaker",1980,"Drama",117,1164
"94","Image of the Beast",1980,"Sci-Fi/Fantasy",93,250
"95","In God We Tru$t",1980,"Comedy",97,944
"96","Inside Moves",1980,"Comedy",113,1476
"97","Island Claws",1980,"Horror",90,412
"98","The Island",1980,"Action/Adventure",109,3743
"99","It's My Turn",1980,"Comedy",91,832
"100","The Jazz Singer",1980,"Drama",115,3784
"101","Just Tell Me What You Want",1980,"Comedy",112,561
"102","The Last Flight of Noah's Ark",1980,"Action/Adventure",97,1217
"103","The Last Married Couple in America",1980,"Comedy",103,566
"104","Last Rites",1980,"Horror",86,136
"105","Little Darlings",1980,"Comedy",96,4821
"106","Little Miss Marker",1980,"Comedy",103,1294
"107","The Long Riders",1980,"Drama",100,9601
"108","Loving Couples",1980,"Comedy",97,328
"109","Lunch Wagon",1981,"Comedy",88,227
"110","The Man Who Saw Tomorrow",1981,"Drama",90,988
"111","The Man with Bogart's Face",1980,"Comedy",106,495
"112","Maniac",1980,"Drama",87,14082
"113","Me and the Kid",1993,"Comedy",94,242
"114","Melvin and Howard",1980,"Comedy",95,4318
"115","Midnight Madness",1980,"Comedy",112,3113
"116","Motel Hell",1980,"Comedy",101,9561
"117","Mother's Day",1980,"Comedy",91,4192
"118","The Mountain Men",1980,"Action/Adventure",102,1965
"119","My Bodyguard",1980,"Comedy",96,8461
"120","Night of the Demon",1983,"Horror",92,1617
"121","Night of the Juggler",1980,"Action/Adventure",101,669
"122","Nijinsky",1980,"Drama",129,626
"123","The Ninth Configuration",1980,"Comedy",118,6251
"124","The Nude Bomb",1980,"Action/Adventure",94,2957
"125","The Octagon",1980,"Action/Adventure",103,4852
"126","Oh, God! Book II",1980,"Comedy",94,2079
"127","Oh Heavenly Dog",1980,"Comedy",103,2314
"128","One-Trick Pony",1980,"Drama",98,601
"129","Ordinary People",1980,"Drama",124,45733
"130","Popeye",1980,"Action/Adventure",114,28860
"131","The Power",1984,"Horror",84,408
"132","Private Benjamin",1980,"Comedy",109,23018
"133","The Private Eyes",1980,"Comedy",91,2724
"134","Raging Bull",1980,"Drama",129,313784
"135","Resurrection",1980,"Drama",103,2642
"136","The Return",1980,"Crime",91,442
"137","Roadie",1980,"Comedy",106,1062
"138","Rough Cut",1980,"Action/Adventure",112,937
"139","Running Scared",1980,"Action/Adventure",96,345
"140","Scared to Death",1980,"Horror",93,585
"141","Seems Like Old Times",1980,"Comedy",102,8495
"142","Serial",1980,"Comedy",86,884
"143","Simon",1980,"Comedy",97,738
"144","Sitting Ducks",1980,"Comedy",87,179
"145","A Small Circle of Friends",1980,"Drama",113,391
"146","Smokey and the Bandit II",1980,"Action/Adventure",100,14463
"147","Soggy Bottom, U.S.A.",1981,"Comedy",90,214
"148","Somewhere in Time",1980,"Drama",103,26213
"149","Stardust Memories",1980,"Comedy",89,20760
"150","Stir Crazy",1980,"Comedy",111,24744
"151","The Stunt Man",1980,"Action/Adventure",131,8529
"152","Tell Me a Riddle",1980,"Drama",90,176
"153","Terror on Tour",1980,"Crime",87,305
"154","Those Lips, Those Eyes",1980,"Comedy",105,265
"155","Times Square",1980,"Drama",111,1286
"156","Touched by Love",1980,"Drama",95,367
"157","Tuck Everlasting",1981,"Drama",90,314
"158","UFOria",1985,"Comedy",93,385
"159","Underground Aces",1981,"Comedy",95,258
"160","Union City",1980,"Comedy",87,358
"161","Up the Academy",1980,"Comedy",87,1519
"162","Urban Cowboy",1980,"Drama",132,12958
"163","Used Cars",1980,"Comedy",113,13236
"164","The Watcher in the Woods",1980,"Family",84,5340
"165","When Time Ran Out...",1980,"Action/Adventure",121,2454
"166","Where the Buffalo Roam",1980,"Drama",99,11010
"167","Wholly Moses!",1980,"Comedy",103,1746
"168","Why Would I Lie?",1980,"Comedy",105,209
"169","Willie & Phil",1980,"Comedy",115,407
"170","Windows",1980,"Drama",96,582
"171","Windwalker",1980,"Action/Adventure",108,962
"172","Witches' Brew",1980,"Comedy",98,181
"173","Without Warning",1980,"Horror",89,3230
"174","The Wizard of Speed and Time",1988,"Drama",95,1880
"175","Xanadu",1980,"Sci-Fi/Fantasy",96,11775
"176","You Better Watch Out",1980,"Horror",100,5571
"177","...All the Marbles",1981,"Comedy",113,1830
"178","Absence of Malice",1981,"Drama",116,11650
"179","All Night Long",1981,"Comedy",87,1574
"180","American Pop",1981,"Family",96,4212
"181","Americana",1981,"Drama",91,242
"182","Amy",1981,"Family",100,299
"183","Arthur",1981,"Comedy",97,25455
"184","Back Roads",1981,"Action/Adventure",94,794
"185","Beatlemania",1981,"Musical",86,100
"186","Blood Beach",1980,"Comedy",92,2205
"187","Bloody Birthday",1981,"Horror",85,4108
"188","Blow Out",1981,"Crime",108,42985
"189","Body Heat",1981,"Crime",113,30216
"190","Body and Soul",1981,"Drama",109,268
"191","The Boogens",1981,"Horror",95,2303
"192","Buddy Buddy",1981,"Comedy",96,4284
"193","Burned at the Stake",1982,"Horror",88,257
"194","The Burning",1981,"Horror",91,15352
"195","Bustin' Loose",1981,"Comedy",94,2741
"196","Butterfly",1981,"Crime",108,1194
"197","Charlie Chan and the Curse of the Dragon Queen",1981,"Comedy",95,1088
"198","Nice Dreams",1981,"Comedy",88,6919
"199","Choices",1981,"Drama",90,258
"200","The Chosen",1981,"Drama",108,1811
"201","Chu Chu and the Philly Flash",1981,"Comedy",92,270
"202","Continental Divide",1981,"Comedy",103,4496
"203","The Creature Wasn't Nice",1981,"Comedy",88,1521
"204","Cutter's Way",1981,"Crime",109,4922
"205","Dawn of the Mummy",1981,"Horror",93,922
"206","Dead & Buried",1981,"Horror",94,9564
"207","Deadly Blessing",1981,"Horror",100,4784
"208","The Devil and Max Devlin",1981,"Comedy",96,1131
"209","The Dorm That Dripped Blood",1982,"Horror",88,1759
"210","Earthbound",1981,"Family",94,157
"211","Enter the Ninja",1981,"Action/Adventure",99,4062
"212","The Entity",1982,"Drama",125,14394
"213","Escape from New York",1981,"Action/Adventure",99,122655
"214","Evilspeak",1981,"Horror",97,3230
"215","An Eye for an Eye",1981,"Action/Adventure",106,3485
"216","Eyes of a Stranger",1981,"Horror",84,2122
"217","Eyewitness",1981,"Crime",103,4161
"218","The Fan",1981,"Drama",95,1945
"219","Fantasies",1981,"Drama",81,252
"220","Fear No Evil",1981,"Horror",99,1136
"221","Final Exam",1981,"Horror",89,3143
"222","The Final Terror",1983,"Horror",82,2503
"223","First Monday in October",1981,"Comedy",98,1323
"224","Force: Five",1981,"Action/Adventure",96,329
"225","Fort Apache the Bronx",1981,"Crime",125,5545
"226","Four Friends",1981,"Comedy",114,1679
"227","The Four Seasons",1981,"Comedy",107,3886
"228","The Fox and the Hound",1981,"Family",83,82812
"229","Frankenstein Island",1981,"Horror",97,886
"230","Friday the 13th Part 2",1981,"Horror",87,57078
"231","Full Moon High",1981,"Comedy",93,1169
"232","The Funhouse",1981,"Horror",96,11911
"233","Galaxy of Terror",1981,"Action/Adventure",81,6557
"234","Gangster Wars",1981,"Drama",121,179
"235","Going Ape!",1981,"Comedy",87,710
"236","Graduation Day",1981,"Horror",96,3359
"237","Halloween II",1981,"Horror",92,72460
"238","The Hand",1981,"Drama",104,5416
"239","Hardly Working",1980,"Comedy",91,713
"240","Harry's War",1981,"Comedy",98,282
"241","Heartbeeps",1981,"Comedy",78,1296
"242","Hell Night",1981,"Horror",101,6004
"243","History of the World: Part I",1981,"Comedy",92,45080
"244","Hollywood High Part II",1981,"Comedy",85,254
